,시점,시군별(1),시군별(2),인구현황별(1),인구현황별(2),데이터
2563,2018,남부,김포시,65세이상 고령자 (명),외국인,136.0
2564,2018,남부,김포시,평균연령 (세),소계,39.0
2565,2018,남부,김포시,인구밀도 (명/㎢),소계,1602.0
2566,2018,남부,김포시,인구밀도면적 (㎢),소계,276.6
2567,2018,남부,화성시,세대수 (세대),소계,301025.0
2568,2018,남부,화성시,등록인구 (명),소계,798100.0
2569,2018,남부,화성시,등록인구 (명),남자,421539.0
2570,2018,남부,화성시,등록인구 (명),여자,376561.0
2571,2018,남부,화성시,한국인 (명),소계,758722.0
2572,2018,남부,화성시,한국인 (명),남자,392871.0
2573,2018,남부,화성시,한국인 (명),여자,365851.0
2574,2018,남부,화성시,외국인 (명),소계,39378.0
2575,2018,남부,화성시,외국인 (명),남자,28668.0
2576,2018,남부,화성시,외국인 (명),여자,10710.0
2577,2018,남부,화성시,세대당 인구 (명),소계,2.52
2578,2018,남부,화성시,65세이상 고령자 (명),소계,63705.0
2579,2018,남부,화성시,65세이상 고령자 (명),한국인,63520.0
2580,2018,남부,화성시,65세이상 고령자 (명),외국인,185.0
2581,2018,남부,화성시,평균연령 (세),소계,36.6
2582,2018,남부,화성시,인구밀도 (명/㎢),소계,1150.0
2583,2018,남부,화성시,인구밀도면적 (㎢),소계,693.9
2584,2018,남부,광주시,세대수 (세대),소계,150055.0
2585,2018,남부,광주시,등록인구 (명),소계,376819.0
2586,2018,남부,광주시,등록인구 (명),남자,195375.0
2587,2018,남부,광주시,등록인구 (명),여자,181444.0
2588,2018,남부,광주시,한국인 (명),소계,363782.0
2589,2018,남부,광주시,한국인 (명),남자,186309.0
2590,2018,남부,광주시,한국인 (명),여자,177473.0
2591,2018,남부,광주시,외국인 (명),소계,13037.0
2592,2018,남부,광주시,외국인 (명),남자,9066.0
2593,2018,남부,광주시,외국인 (명),여자,3971.0
2594,2018,남부,광주시,세대당 인구 (명),소계,2.42
2595,2018,남부,광주시,65세이상 고령자 (명),소계,42937.0
2596,2018,남부,광주시,65세이상 고령자 (명),한국인,42843.0
2597,2018,남부,광주시,65세이상 고령자 (명),외국인,94.0
2598,2018,남부,광주시,평균연령 (세),소계,40.5
2599,2018,남부,광주시,인구밀도 (명/㎢),소계,874.0
2600,2018,남부,광주시,인구밀도면적 (㎢),소계,431.0
2601,2018,남부,여주시,세대수 (세대),소계,49542.0
2602,2018,남부,여주시,등록인구 (명),소계,115074.0
2603,2018,남부,여주시,등록인구 (명),남자,58719.0
2604,2018,남부,여주시,등록인구 (명),여자,56355.0
2605,2018,남부,여주시,한국인 (명),소계,111525.0
2606,2018,남부,여주시,한국인 (명),남자,56479.0
2607,2018,남부,여주시,한국인 (명),여자,55046.0
2608,2018,남부,여주시,외국인 (명),소계,3549.0
2609,2018,남부,여주시,외국인 (명),남자,2240.0
2610,2018,남부,여주시,외국인 (명),여자,1309.0
2611,2018,남부,여주시,세대당 인구 (명),소계,2.25
2612,2018,남부,여주시,65세이상 고령자 (명),소계,21980.0
2613,2018,남부,여주시,65세이상 고령자 (명),한국인,21959.0
2614,2018,남부,여주시,65세이상 고령자 (명),외국인,21.0
2615,2018,남부,여주시,평균연령 (세),소계,45.3
2616,2018,남부,여주시,인구밀도 (명/㎢),소계,189.0
2617,2018,남부,여주시,인구밀도면적 (㎢),소계,608.3
2618,2018,남부,양평군,세대수 (세대),소계,54422.0
2619,2018,남부,양평군,등록인구 (명),소계,117670.0
2620,2018,남부,양평군,등록인구 (명),남자,59107.0
2621,2018,남부,양평군,등록인구 (명),여자,58563.0
2622,2018,남부,양평군,한국인 (명),소계,116095.0
2623,2018,남부,양평군,한국인 (명),남자,58396.0
2624,2018,남부,양평군,한국인 (명),여자,57699.0
2625,2018,남부,양평군,외국인 (명),소계,1575.0
2626,2018,남부,양평군,외국인 (명),남자,711.0
2627,2018,남부,양평군,외국인 (명),여자,864.0
2628,2018,남부,양평군,세대당 인구 (명),소계,2.13
2629,2018,남부,양평군,65세이상 고령자 (명),소계,26932.0
2630,2018,남부,양평군,65세이상 고령자 (명),한국인,26902.0
2631,2018,남부,양평군,65세이상 고령자 (명),외국인,30.0
2632,2018,남부,양평군,평균연령 (세),소계,47.5
2633,2018,남부,양평군,인구밀도 (명/㎢),소계,134.0
2634,2018,남부,양평군,인구밀도면적 (㎢),소계,877.7
2652,2018,북부,의정부시,세대수 (세대),소계,185319.0
2653,2018,북부,의정부시,등록인구 (명),소계,451542.0
2654,2018,북부,의정부시,등록인구 (명),남자,222479.0
2655,2018,북부,의정부시,등록인구 (명),여자,229063.0
2656,2018,북부,의정부시,한국인 (명),소계,447026.0
2657,2018,북부,의정부시,한국인 (명),남자,220360.0
2658,2018,북부,의정부시,한국인 (명),여자,226666.0
2659,2018,북부,의정부시,외국인 (명),소계,4516.0
2660,2018,북부,의정부시,외국인 (명),남자,2119.0
2661,2018,북부,의정부시,외국인 (명),여자,2397.0
2662,2018,북부,의정부시,세대당 인구 (명),소계,2.41
2663,2018,북부,의정부시,65세이상 고령자 (명),소계,61525.0
2664,2018,북부,의정부시,65세이상 고령자 (명),한국인,61413.0
2665,2018,북부,의정부시,65세이상 고령자 (명),외국인,112.0
2666,2018,북부,의정부시,평균연령 (세),소계,41.7
2667,2018,북부,의정부시,인구밀도 (명/㎢),소계,5538.0
2668,2018,북부,의정부시,인구밀도면적 (㎢),소계,81.5
2669,2018,북부,동두천시,세대수 (세대),소계,42919.0
2670,2018,북부,동두천시,등록인구 (명),소계,99566.0
2671,2018,북부,동두천시,등록인구 (명),남자,49970.0
2672,2018,북부,동두천시,등록인구 (명),여자,49596.0
2673,2018,북부,동두천시,한국인 (명),소계,96226.0
2674,2018,북부,동두천시,한국인 (명),남자,47988.0
2675,2018,북부,동두천시,한국인 (명),여자,48238.0
2676,2018,북부,동두천시,외국인 (명),소계,3340.0
2677,2018,북부,동두천시,외국인 (명),남자,1982.0
2678,2018,북부,동두천시,외국인 (명),여자,1358.0
2679,2018,북부,동두천시,세대당 인구 (명),소계,2.24
2680,2018,북부,동두천시,65세이상 고령자 (명),소계,17744.0
2681,2018,북부,동두천시,65세이상 고령자 (명),한국인,17695.0
2682,2018,북부,동두천시,65세이상 고령자 (명),외국인,49.0
2683,2018,북부,동두천시,평균연령 (세),소계,44.1
2684,2018,북부,동두천시,인구밀도 (명/㎢),소계,1041.0
2685,2018,북부,동두천시,인구밀도면적 (㎢),소계,95.7
2686,2018,북부,고양시,세대수 (세대),소계,417607.0
2687,2018,북부,고양시,등록인구 (명),소계,1056853.0
2688,2018,북부,고양시,등록인구 (명),남자,519004.0
2689,2018,북부,고양시,등록인구 (명),여자,537849.0
2690,2018,북부,고양시,한국인 (명),소계,1044189.0
2691,2018,북부,고양시,한국인 (명),남자,512359.0
2692,2018,북부,고양시,한국인 (명),여자,531830.0
2693,2018,북부,고양시,외국인 (명),소계,12664.0
2694,2018,북부,고양시,외국인 (명),남자,6645.0
2695,2018,북부,고양시,외국인 (명),여자,6019.0
2696,2018,북부,고양시,세대당 인구 (명),소계,2.5
2697,2018,북부,고양시,65세이상 고령자 (명),소계,126800.0
2698,2018,북부,고양시,65세이상 고령자 (명),한국인,126572.0
2699,2018,북부,고양시,65세이상 고령자 (명),외국인,228.0
2700,2018,북부,고양시,평균연령 (세),소계,41.0
2701,2018,북부,고양시,인구밀도 (명/㎢),소계,3942.0
2702,2018,북부,고양시,인구밀도면적 (㎢),소계,268.1
2703,2018,북부,구리시,세대수 (세대),소계,79735.0
2704,2018,북부,구리시,등록인구 (명),소계,204977.0
2705,2018,북부,구리시,등록인구 (명),남자,101722.0
2706,2018,북부,구리시,등록인구 (명),여자,103255.0
2707,2018,북부,구리시,한국인 (명),소계,203553.0
2708,2018,북부,구리시,한국인 (명),남자,101084.0
2709,2018,북부,구리시,한국인 (명),여자,102469.0
2710,2018,북부,구리시,외국인 (명),소계,1424.0
2711,2018,북부,구리시,외국인 (명),남자,638.0
2712,2018,북부,구리시,외국인 (명),여자,786.0
2713,2018,북부,구리시,세대당 인구 (명),소계,2.55
2714,2018,북부,구리시,65세이상 고령자 (명),소계,23834.0
2715,2018,북부,구리시,65세이상 고령자 (명),한국인,23800.0
2716,2018,북부,구리시,65세이상 고령자 (명),외국인,34.0
2717,2018,북부,구리시,평균연령 (세),소계,40.8
2718,2018,북부,구리시,인구밀도 (명/㎢),소계,6152.0
2719,2018,북부,구리시,인구밀도면적 (㎢),소계,33.3
2720,2018,북부,남양주시,세대수 (세대),소계,264488.0
2721,2018,북부,남양주시,등록인구 (명),소계,688965.0
